artist_id,artist_name,total_followers,genres,popularity
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,1783218,"['hip hop', 'pop', 'portland hip hop', 'rap', 'underground hip hop']",70
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,1259311,"['dance pop', 'edm', 'pop', 'pop rap']",70
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,1939668,"['danish pop', 'pop', 'scandipop']",70
05o1zW8b6PV6rEquXr74sB,State of Sound,44441,"['deep tropical house', 'swedish tropical house', 'tropical house']",40
5y2Xq6xcjJb2jVM54GHK3t,John Legend,6178166,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",76
5WUlDfRSoLAfcVSX1WnrxN,Sia,23317089,"['australian dance', 'australian pop', 'pop']",83
4BNWanhw4AjSXjBm9L1Jzy,Juris,652050,['opm'],53
6T5tfhQCknKG4UnH90qGnz,DNCE,4175674,"['dance pop', 'pop', 'post-teen pop']",70
2kZThDGZcHl4klYYFk0v8n,Moonstar88,813455,"['opm', 'pinoy rock', 'pop rock']",52
4dpARuHxo51G3z768sgnrY,Adele,38161514,"['british soul', 'pop', 'pop soul', 'uk pop']",85
4qzcg58jZdJ9ujEI6Cs3Ad,Krissy,14880,['opm'],34
0bdfiayQAKewqEvaU6rXCv,MØ,1379053,"['art pop', 'dance pop', 'danish pop', 'electropop', 'pop', 'tropical house']",69
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,11388173,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",74
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,2925678,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",78
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,35892552,"['permanent wave', 'pop']",87
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,33932118,['electro house'],80
5M0lbkGluOPXLeFjApw8r8,Shelley FKA DRAM,817433,"['alternative r&b', 'virginia hip hop']",62
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,22441364,"['modern rock', 'rock']",80
6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,3081839,['opm'],56
2tQbSWgZLIB8MXMnsXVRro,Nina,581900,['opm'],54
2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,148946,['opm'],47
5elcNQkZ6FCZA3grSOMngY,MYMP,884011,['opm'],57
6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,808189,"['dance pop', 'hyphy', 'pop rap', 'southern hip hop']",65
6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,913766,['tropical house'],64
6ZgBJRjJsK1iOJGKGZxEUv,South Border,823861,['opm'],55
24fEOzlKhgSNLIcy9NdmwH,James Reid,309781,"['deep neofolk', 'opm', 'pinoy r&b']",53
3nZa8vRD64ueq3d0JNYTsl,6cyclemind,927642,"['opm', 'pinoy rock', 'pop rock']",51
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,48625197,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",87
6s22t5Y3prQHyaHWUN1R1C,AJR,2224178,['modern rock'],74
2wY79sveU1sp5g7SokKOiI,Sam Smith,19515570,"['dance pop', 'pop', 'uk pop']",82
4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,589819,['opm'],52
21E3waRsmPlU7jZsS13rcj,Ne-Yo,7118721,"['dance pop', 'pop', 'r&b', 'urban contemporary']",77
0ekbDNE2eOq8QiaXM34wer,Howie Day,297979,"['acoustic pop', 'neo mellow', 'pop rock']",54
2GqX0GnrKdi6Z2X2OReYOK,Piolo Pascual,206696,['opm'],45
0jarApAsbmiCkYhz0590mE,Freestyle,197108,"['opm', 'pop rock']",55
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,8514312,"['dance pop', 'pop', 'post-teen pop']",75
3C4t1usFGoKHCSRdujm2GN,Ryan Cabrera,75868,"['neo mellow', 'pop rock', 'post-teen pop']",46
2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,894522,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'urban contemporary', 'viral pop']",60
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,26022926,"['boy band', 'pop', 'post-teen pop', 'talent show']",83
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,4212822,"['neo mellow', 'pop']",78
0EmeFodog0BfCgMzAIvKQp,Shakira,23612955,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",82
3wjsrpfO6odEphTZWx45RQ,Hearts & Colors,124738,"['channel pop', 'neo mellow', 'viral pop']",53
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,2214886,"['neo mellow', 'permanent wave', 'pop rock']",70
0jNDKefhfSbLR9sFvcPLHo,San Holo,659721,"['edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'pop dance', 'pop edm', 'vapor twitch']",59
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,7279571,"['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop']",77
3AQRLZ9PuTAozP28Skbq8V,The Script,7276472,"['celtic rock', 'dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rock']",73
2mxe0TnaNL039ysAj51xPQ,R. Kelly,2429715,[],66
5oWOx0BBDSMoFB8JDrjQre,Katharine McPhee,166200,"['dance pop', 'idol', 'post-teen pop']",51
